Date,User Type,Total
2020-11-20,AS_NON-EDITING-TEACHERS,153
2020-11-20,AS_STUDENT,4451
2020-11-20,AS_TEACHERS,1287
2020-11-21,AS_NON-EDITING-TEACHERS,148
2020-11-21,AS_STUDENT,5387
2020-11-21,AS_TEACHERS,1709
2020-11-08,AS_NON-EDITING-TEACHERS,671
2020-11-08,AS_STUDENT,12234
2020-11-08,AS_TEACHERS,4132
2020-11-22,AS_NON-EDITING-TEACHERS,972
2020-11-22,AS_STUDENT,7386
2020-11-22,AS_TEACHERS,2120
2020-11-19,AS_NON-EDITING-TEACHERS,430
2020-11-19,AS_STUDENT,3632
2020-11-19,AS_TEACHERS,826
2020-11-18,AS_NON-EDITING-TEACHERS,331
2020-11-18,AS_STUDENT,3505
2020-11-18,AS_TEACHERS,1350
2020-11-23,AS_NON-EDITING-TEACHERS,1118
2020-11-23,AS_STUDENT,19193
2020-11-23,AS_TEACHERS,3047
2020-11-09,AS_NON-EDITING-TEACHERS,4428
2020-11-09,AS_STUDENT,26950
2020-11-09,AS_TEACHERS,12289
2020-11-30,AS_NON-EDITING-TEACHERS,1219
2020-11-30,AS_STUDENT,9354
2020-11-30,AS_TEACHERS,4468
2020-11-24,AS_NON-EDITING-TEACHERS,814
2020-11-24,AS_STUDENT,12802
2020-11-24,AS_TEACHERS,3918
2020-11-26,AS_NON-EDITING-TEACHERS,2003
2020-11-26,AS_STUDENT,13641
2020-11-26,AS_TEACHERS,7615
2020-11-25,AS_NON-EDITING-TEACHERS,1216
2020-11-25,AS_STUDENT,13004
2020-11-25,AS_TEACHERS,4884
2020-11-27,AS_NON-EDITING-TEACHERS,759
2020-11-27,AS_STUDENT,13000
2020-11-27,AS_TEACHERS,4281
2020-12-20,AS_NON-EDITING-TEACHERS,91
2020-12-20,AS_STUDENT,9787
2020-12-20,AS_TEACHERS,997
2021-01-06,AS_NON-EDITING-TEACHERS,433
2021-01-06,AS_STUDENT,24584
2021-01-06,AS_TEACHERS,3201
2020-09-22,AS_NON-EDITING-TEACHERS,1226
2020-09-22,AS_STUDENT,21511
2020-09-22,AS_TEACHERS,4338
2020-12-21,AS_NON-EDITING-TEACHERS,394
2020-12-21,AS_STUDENT,15407
2020-12-21,AS_TEACHERS,2757
2020-12-08,AS_NON-EDITING-TEACHERS,1710
2020-12-08,AS_STUDENT,13420
2020-12-08,AS_TEACHERS,3194
2020-10-23,AS_NON-EDITING-TEACHERS,2105
2020-10-23,AS_STUDENT,20120
2020-10-23,AS_TEACHERS,5171
2020-12-22,AS_NON-EDITING-TEACHERS,469
2020-12-22,AS_STUDENT,1545
2020-12-22,AS_TEACHERS,540
2020-12-09,AS_NON-EDITING-TEACHERS,1486
2020-12-09,AS_STUDENT,22733
2020-12-09,AS_TEACHERS,5024
2021-01-05,AS_NON-EDITING-TEACHERS,683
2021-01-05,AS_STUDENT,12794
2021-01-05,AS_TEACHERS,2753
