Date,User Type,Component,Total
2020-11-20,AS_NON-EDITING-TEACHERS,Assignment,86
2020-11-20,AS_NON-EDITING-TEACHERS,File,3
2020-11-20,AS_NON-EDITING-TEACHERS,Grader report,1
2020-11-20,AS_NON-EDITING-TEACHERS,Quiz,3
2020-11-20,AS_NON-EDITING-TEACHERS,Submission comments,1
2020-11-20,AS_NON-EDITING-TEACHERS,System,57
2020-11-20,AS_NON-EDITING-TEACHERS,URL,2
2020-11-20,AS_STUDENT,Assignment,636
2020-11-20,AS_STUDENT,Book,2
2020-11-20,AS_STUDENT,File,119
2020-11-20,AS_STUDENT,File submissions,56
2020-11-20,AS_STUDENT,Folder,6
2020-11-20,AS_STUDENT,Forum,75
2020-11-20,AS_STUDENT,Grader report,1
2020-11-20,AS_STUDENT,Group choice,6
2020-11-20,AS_STUDENT,Lesson,179
2020-11-20,AS_STUDENT,Online text submissions,8
2020-11-20,AS_STUDENT,Open Forum,105
2020-11-20,AS_STUDENT,Page,48
2020-11-20,AS_STUDENT,Quiz,216
2020-11-20,AS_STUDENT,Submission comments,1
2020-11-20,AS_STUDENT,System,2847
2020-11-20,AS_STUDENT,URL,115
2020-11-20,AS_STUDENT,User report,25
2020-11-20,AS_STUDENT,User tours,6
2020-11-20,AS_TEACHERS,Assignment,181
2020-11-20,AS_TEACHERS,File,3
2020-11-20,AS_TEACHERS,Open Forum,12
2020-11-20,AS_TEACHERS,Quiz,60
2020-11-20,AS_TEACHERS,System,1024
2020-11-20,AS_TEACHERS,URL,7
2020-11-21,AS_NON-EDITING-TEACHERS,Assignment,61
2020-11-21,AS_NON-EDITING-TEACHERS,Quiz,1
2020-11-21,AS_NON-EDITING-TEACHERS,Submission comments,7
2020-11-21,AS_NON-EDITING-TEACHERS,System,79
2020-11-21,AS_STUDENT,Assignment,834
2020-11-21,AS_STUDENT,Book,6
2020-11-21,AS_STUDENT,External tool,1
2020-11-21,AS_STUDENT,File,212
2020-11-21,AS_STUDENT,File submissions,88
2020-11-21,AS_STUDENT,Folder,7
2020-11-21,AS_STUDENT,Forum,21
2020-11-21,AS_STUDENT,Group choice,2
2020-11-21,AS_STUDENT,Lesson,195
2020-11-21,AS_STUDENT,Online text submissions,10
2020-11-21,AS_STUDENT,Open Forum,112
2020-11-21,AS_STUDENT,Page,70
2020-11-21,AS_STUDENT,Quiz,352
2020-11-21,AS_STUDENT,Scheduler,4
2020-11-21,AS_STUDENT,Submission comments,7
2020-11-21,AS_STUDENT,System,3236
2020-11-21,AS_STUDENT,URL,191
2020-11-21,AS_STUDENT,User report,25
2020-11-21,AS_STUDENT,User tours,14
2020-11-21,AS_TEACHERS,Assignment,10
2020-11-21,AS_TEACHERS,Lesson,18
2020-11-21,AS_TEACHERS,Logs,2
2020-11-21,AS_TEACHERS,Open Forum,30
2020-11-21,AS_TEACHERS,Quiz,74
2020-11-21,AS_TEACHERS,Scheduler,42
2020-11-21,AS_TEACHERS,System,1532
2020-11-21,AS_TEACHERS,URL,1
2020-11-08,AS_NON-EDITING-TEACHERS,Assignment,301
2020-11-08,AS_NON-EDITING-TEACHERS,Excel spreadsheet,2
2020-11-08,AS_NON-EDITING-TEACHERS,File,2
2020-11-08,AS_NON-EDITING-TEACHERS,File submissions,2
2020-11-08,AS_NON-EDITING-TEACHERS,Forum,38
2020-11-08,AS_NON-EDITING-TEACHERS,Grader report,6
2020-11-08,AS_NON-EDITING-TEACHERS,Group choice,2
2020-11-08,AS_NON-EDITING-TEACHERS,Open Forum,2
2020-11-08,AS_NON-EDITING-TEACHERS,Single view,3
2020-11-08,AS_NON-EDITING-TEACHERS,Submission comments,24
2020-11-08,AS_NON-EDITING-TEACHERS,System,284
2020-11-08,AS_NON-EDITING-TEACHERS,URL,3
2020-11-08,AS_NON-EDITING-TEACHERS,User report,2
2020-11-08,AS_STUDENT,Assignment,2040
2020-11-08,AS_STUDENT,Book,40
2020-11-08,AS_STUDENT,Choice,1
2020-11-08,AS_STUDENT,Feedback,2
2020-11-08,AS_STUDENT,File,336
2020-11-08,AS_STUDENT,File submissions,218
2020-11-08,AS_STUDENT,Folder,1
2020-11-08,AS_STUDENT,Forum,143
2020-11-08,AS_STUDENT,Grader report,1
2020-11-08,AS_STUDENT,Group choice,10
2020-11-08,AS_STUDENT,Lesson,1178
2020-11-08,AS_STUDENT,Online text submissions,6
2020-11-08,AS_STUDENT,Open Forum,238
2020-11-08,AS_STUDENT,Overview report,10
2020-11-08,AS_STUDENT,Page,70
2020-11-08,AS_STUDENT,Quiz,698
2020-11-08,AS_STUDENT,Scheduler,1
2020-11-08,AS_STUDENT,Single view,3
2020-11-08,AS_STUDENT,Submission comments,26
2020-11-08,AS_STUDENT,System,6629
2020-11-08,AS_STUDENT,URL,427
2020-11-08,AS_STUDENT,User report,117
2020-11-08,AS_STUDENT,User tours,39
2020-11-08,AS_TEACHERS,Assignment,356
2020-11-08,AS_TEACHERS,Excel spreadsheet,3
2020-11-08,AS_TEACHERS,File,5
2020-11-08,AS_TEACHERS,Forum,41
2020-11-08,AS_TEACHERS,Grader report,20
2020-11-08,AS_TEACHERS,Group choice,2
2020-11-08,AS_TEACHERS,Lesson,2
2020-11-08,AS_TEACHERS,Logs,1
2020-11-08,AS_TEACHERS,Open Forum,21
2020-11-08,AS_TEACHERS,Page,1
2020-11-08,AS_TEACHERS,Quiz,712
2020-11-08,AS_TEACHERS,Single view,19
2020-11-08,AS_TEACHERS,Submission comments,22
2020-11-08,AS_TEACHERS,System,2891
2020-11-08,AS_TEACHERS,URL,6
2020-11-08,AS_TEACHERS,User report,15
2020-11-08,AS_TEACHERS,Workshop,15
2020-11-19,AS_NON-EDITING-TEACHERS,Assignment,100
2020-11-19,AS_NON-EDITING-TEACHERS,File,2
2020-11-19,AS_NON-EDITING-TEACHERS,Forum,8
2020-11-19,AS_NON-EDITING-TEACHERS,Open Forum,1
2020-11-19,AS_NON-EDITING-TEACHERS,Page,1
2020-11-19,AS_NON-EDITING-TEACHERS,Quiz,19
2020-11-19,AS_NON-EDITING-TEACHERS,Submission comments,8
2020-11-19,AS_NON-EDITING-TEACHERS,System,287
2020-11-19,AS_NON-EDITING-TEACHERS,URL,4
2020-11-19,AS_STUDENT,Assignment,661
2020-11-19,AS_STUDENT,Book,14
